iter	Passed	Remaining
403	11170	2654
404	11191	2625
405	11220	2597
406	11248	2570
407	11276	2542
408	11299	2514
409	11320	2485
410	11346	2457
411	11367	2428
412	11389	2399
413	11418	2371
414	11459	2347
415	11482	2318
416	11505	2289
417	11527	2261
418	11555	2233
419	11584	2206
420	11620	2180
421	11642	2151
422	11662	2123
423	11685	2094
424	11706	2065
425	11736	2038
426	11763	2011
427	11798	1984
428	11823	1956
429	11848	1928
430	11880	1902
431	11922	1876
432	11945	1848
433	11969	1820
434	11992	1791
435	12030	1765
436	12064	1739
437	12087	1711
438	12110	1682
439	12133	1654
440	12162	1627
441	12190	1599
442	12217	1572
443	12243	1544
444	12266	1516
445	12296	1488
446	12329	1461
447	12360	1434
448	12387	1407
449	12413	1379
450	12445	1352
451	12475	1324
452	12530	1300
453	12561	1272
454	12594	1245
455	12640	1219
456	12675	1192
457	12704	1165
458	12731	1137
459	12762	1109
460	12792	1082
461	12822	1054
462	12847	1026
463	12870	998
464	12895	970
465	12924	942
466	12957	915
467	12986	887
468	13012	860
469	13030	831
470	13066	804
471	13096	776
472	13125	749
473	13148	721
474	13173	693
475	13195	665
476	13217	637
477	13263	610
478	13300	583
479	13324	555
480	13347	527
481	13384	499
482	13417	472
483	13440	444
484	13463	416
485	13486	388
486	13518	360
487	13555	333
488	13582	305
489	13605	277
490	13629	249
491	13651	221
492	13673	194
493	13698	166
494	13720	138
495	13751	110
496	13789	83
497	13812	55
498	13839	27
499	13867	0
